映画タイトル,感想,評価,泣ける,笑える,勉強,キュキュン,怖い,ワクワク,ハラハラ
ウィッシュ,ディズニー100周年の集大成。2Dと3Dの融合で今までにない映像。,5,5,4,4,0,3,5,4
ダンジョンズ&ドラゴンズ,世界発のRPGが題材の作品。ユニークでおもしろい,4,3,4,1,3,2,5,5
鬼誕生　ゲゲゲの謎,なんとなく大人向けで怖くておもしろい,4,3,2,2,1,4,4,5
タイタニック,とても泣ける。純愛で感動した。,5,5,2,3,5,5,5,5
パリピ公明　アニメ総集編,懐かしの音楽が劇場音響で聞けて最高,3,1,3,1,1,1,5,2
ブルーロック,世界観に引き込まれる映画だった。,3,3,1,3,0,0,5,4
トランスフォーマー　ビーストの覚醒(4DX),戦闘シーンかっこよかった。4DXがよくて金払う価値ありだと思った。,4,3,2,1,1,3,2,4
推しの子　Mother and Children,アニメとしての完成度がすごく高い。歌唱シーンがあまり設けられてないのが残念,4,4,1,3,1,3,1,4
名探偵コナン　黒鉄の魚影,とても面白くて何回でも見たい。哀ちゃんがとにかくかわいい。,5,4,3,3,4,2,4,4
ハウ,声の出ない犬がかわいい,3,4,1,2,2,2,3,4
BLUE GIANT,劇場音響で聴くジャズがとてもよかった。原作とは違うラストで大号泣。,5,5,2,4,1,1,5,5
胸が鳴るのは君のせい,青春映画ですごくキュンキュンした。,4,2,1,1,5,1,3,2
かがみの孤城,いじめについて考えさせられる。とても感動的で大号泣した。,5,5,2,2,1,2,1,1
美女と野獣（実写版）,偏見で物事を見ないことの大切などを痛感する感動の物語です。知っている物語でも感動できます。アニメ版にはない感動があります。,5,5,1,2,4,1,2,2
オッペンハイマー,原発作った人の話　めちゃくちゃ勉強になる　同じ物理の道を歩んでいる身としてはまぢおもろかった,5,4,1,5,1,5,1,5
ホームアローン,おもしろい。かわいい。,5,3,3,1,１,3,5,5
窓際のトットちゃん,黒柳徹子さんの幼少期の体験談をもとに作られた映画。戦争のことを考えさせられる。,5,5,3,5,1,4,2,4
いま、会いにゆきます,亡くなった妻が梅雨の季節に帰ってくる映画でとても感動した。,5,5,2,1,4,1,1,2
バジーノイズ,サントラ音楽の良さを感じた。,5,5,2,4,3,4,5,2
四月になれば彼女は,とても考えさせられる内容だった。みんなが思う、愛を終わらせない方法が知りたい。,4,4,1,2,1,2,1,4
千と千尋の神隠し,豚にされた両親を救うために、見知らぬ地で働く千尋の姿に感動しました。,5,3,2,1,2,2,3,3
思い出のマーニー,マーニーの正体を知ったときは鳥肌が立った。内容はもちろん作画とサウンドトラックが神。あと食べ物がおいしそうなのがさすがジブリ。,５,５,２,２,１,５,５,４
ゴールデンカムイ,漫画の実写化で不安だったがかなり素晴らしい作品だった。是非みんなに見てもらいたい。,5,3,5,2,1,1,5,5
翔んで埼玉,面白かった,5,1,5,3,3,1,5,2
トイストーリー４,ウッディがバズ達と別の道を選ぶのが衝撃過ぎて私は許せない。だが海外では評価されているので賛否両論なんだと思う。,２,５,３,１,１,１,３,５
インターステラー,人類の存亡のために宇宙へ行ってしまった父と、地球で父親の帰りを待ちながら研究をし続けた娘の家族愛が泣けました。宇宙の環境や、惑星での時間の経過の仕方が現実に忠実なのもよかったです。ある惑星では１時間しかたっていないのに、地球では何年も経過してしまうシーンや、ブラックホールの付近を通過するシーンにはとてもハラハラしました。長編ですが、ぜひ全人類に見てほしいです。,５,５,１,５,１,２,５,５
君の膵臓を食べたい ,予想外の結末で一人で映画館で大号泣した,5,5,2,2,3,4,3,2
アナと雪の女王２,グラフィックがきれいで壮大。音楽もかっこいい,3,2,3,1,2,1,3,4
カノジョは嘘を愛しすぎてる,この作品でデビューした大原櫻子さんが好きで見てました。音楽を必死に頑張る姿や恋に必死な主人公に自分もこんな風に、自由にやりたいことに真っ直ぐでいたいと思えるような映画でした。作中の音楽も最高でした。,5,3,2,2,4,1,1,1
ライド・オン,ジャッキーチェンが主演の映画で親に勧められて見た映画でしたが、親子の絆やスタントマンという職業に対する良さや大変さ、それと向き合う人についてなど、見ていて学ぶこともあり、とても感動する映画でした。また、娘役の女優さんがとてもかわいかったです。,5,5,2,4,1,1,2,3
キングダム,臨場感がすごい。続編が楽しみすぎる。,5,4,3,1,2,2,5,5
ハイキュー～ゴミ捨て場の決戦～,映画ならではの臨場感が最高だった。誇張なしで６回見ました。高校生バレーの青春と両校の因縁の対決がほんとに感動した。,5,5,4,1,1,1,1,4
交換ウソ日記,こんな楽しい高校生活を私も送りたかったなと思うような映画でした。,5,3,2,1,5,1,2,1
スタンドバイミードラえもん,ドラえもんのために頑張るのび太が素敵✨,5,5,4,5,2,2,4,4
魔法少女まどか☆マギカ[新編]叛逆の物語,戦闘シーンの作画がこだわりが多すぎて感動した。シャフトの本気を実感した。10回見ました。最近は0.5倍速にはまっています。今年の冬に続編公開予定です！！前売り券何枚買おうかな。,5,4,2,2,4,4,5,5
ミスペレグリント奇妙な子供たち,ダークファンタジー風の物語。不思議な雰囲気が良かった。,4,3,3,2,3,3,4,4
ちむどんどん,演出から俳優の演技の何から何まで酷かった。,1,1,1,1,1,1,1,1
刀剣乱舞-継承-,ゲーム刀剣乱舞初の実写映画。本能寺の変の歴史を守ろうとする刀剣男士の物語です。キャストに舞台で刀剣男士を演じている役者を起用しているのでとにかくアクションの迫力や勢い、臨場感がすごいです。ゲームのキャラクターですがキャストの演技もさることながら衣装やウィッグの再現度も見どころです。最後はほっこりしますかわいかったです。,5,3,2,4,1,2,5,5
聲の形,耳の聞こえない女の子を小学校のクラス全員でいじめるのだが、主人公の男の子１人に責任を負わせ、次は男の子がいじめられる展開から始まるので、序盤はかなり胸糞の悪い映画。いじめから始まり、友情、恋愛感情、嫉妬心、様々な感情が入り混じっている考えさせられる作品。,４,３,１,５,２,３,３,５
ホーンテッド・キャンパス,ホラーと恋愛が融合した映画で、怖いシーンも多くありますが、主人公が所属するサークル内の人間関係の面白さなど、怖いけど見ていたくなる内容で、出演者をきっかけに見始めましたが、小説も読み始め、今21巻まで読み続けています。,5,2,3,2,4,5,1,2
そして、バトンは渡された,家族愛が感じられ、感動した。,5,5,1,2,3,1,1,1
名探偵コナン　ベイカー街の亡霊,子供たちが協力しあい、助け合うところに感動する。何回も見たくなる。,5,4,2,4,1,3,3,4
映画ドラえもん　のびたと鉄人兵団,鉄人兵団のリルルとピッポがのびた達とかかわることでの人間の良いところを知っていく。最後のシーンは何歳になっても大号泣する。,４,５,３,１,１,５,４,４
ローマの休日,すごく感動した。白黒だけど良い。オードリーヘップバーンかわいい,5,4,4,3,3,1,4,4
ある閉ざされた雪の山荘で,最後まで展開が読めなくて目が離せなかった。,3,3,1,3,1,4,3,4
カールおじさんと空飛ぶ家,とても感動した。号泣。カールおじいさんと妻の話が特に泣けた記憶。,4,5,4,1,1,1,4,4
ドクターチョコレート,謎解き要素やサスペンス要素がチープだった,2,1,2,3,2,1,1,1
花郎(ドラマ),キラキラアイドル並べえただけで内容がなかった,1,2,1,2,2,1,1,1
魔法にかけられて,ストーリーは非現実的だが、歌がとてもいいです。,5,3,5,1,3,2,5,2
ヒロイン失格,面白いし、キュンキュンする。,,,,,,,,
ウマ娘プリティーダービー　新時代の扉,ウマ娘1人1人に葛藤があって自分とも重なり感動した。ジャンポケ大好き結婚して。でもウマ娘好きじゃないとつまらないと思う。,4,5,5,3,5,1,5,5
舞妓はレディ,舞妓さんを目指す女の子に焦点を当てた映画。当時部活で和楽器をやっていたことや友達が舞妓さんになったことからこの映画を見ましたが、日本文化が好きな私にとっては学ぶことも多く、ミュージカル風の内容もとても面白かったですｌ。,4,3,2,5,1,1,3,1
夏へのトンネル、さよならの出口,映画にするには原作が深すぎるというか、考察厨はたのしめそうな作品。おはなしは好き,2,3,1,2,3,3,1,5
SPY×FAMILY CODE:White,声を出して笑ってしまうほど、面白かった。,5,1,5,1,1,1,5,5
キングダム,面白い。顔面偏差値高い。ワンオク最高。,5,2,3,2,1,3,5,5
黒崎くんの言いなりになんてならない,中島健人がひたすらカッコイイ,4,2,3,0,5,0,4,4
映画けいおん,平沢唯は俺の嫁。BIG LOVE_____,5,3,3,3,5,1,5,3
溺れるナイフ,途中まではよかったが、最後のほうは内容がよく分からなかった。,2,1,1,1,5,2,1,2
名探偵コナン ハロウィンの花嫁,警察学校組が尊すぎて6回観た。上映時間のうち半分くらいの時間泣いてた。,5,5,2,5,4,2,5,5
名探偵コナン 100万ドルの五稜星,まじっく快斗に焦点を当てて、怪盗キッドの心情が細かく描かれていて最高でした！,5,3,4,2,4,3,5,5
レジェンドアンドバタフライ,ラストに夢なんだかよくわからない妄想シーンが入っていて正直下がっちゃいました。,2,3,3,4,3,5,2,5
暗殺教室(実写),実写しないほうがよかった。特に先生(殺せんせー以外)のキャスティングに納得できない。,2,2,3,1,1,3,1,2
私の幸せの結婚,演技が良かった！,,,,,,,,
レミゼラブル,ヒュージャックマン?の演技ｶﾞよかった,4,5,0,3,5,0,3,4
黒執事　Book of the Atlantic,古い作品とは思えないアニメーションのクオリティ。万人受けはしないだろうがよい作品,4,1,3,1,2,4,3,5
ホーンテッドマンション,意外とホラーではなく、感動します。ディズニーランドのアトラクションが好きな人は見るべきです。,5,5,3,2,1,3,5,4
夜が明けたら一番に君に会いに行く,白岩瑠姫の横顔がかっこよすぎて内容が入ってこないです。原作と割と違うので違う作品だと思って見た方が楽しめるかも。,2,4,3,1,5,2,4,1
劇場版　ヴァイオレット・エヴァーガーデン,アニメでも泣いて映画でも沢山泣きました。主人公の成長と人の愛に心を打たれます。,5,5,2,3,4,2,3,4
FALL,終始手汗が止まらないほどにハラハラドキドキした。高所恐怖症の人は見ないほうが良い。,4,1,1,4,1,4,3,5
彼女が好きなものは,安藤くん（神尾楓珠）がかっこいい。たまに苛立ちを覚えるシーンがある。デリケートな話であるため、視聴には注意。,4,3,2,3,4,1,3,3
先生さようなら（ドラマ）,渡辺翔太さんの演技がうまい。仕事上での表情とそうでない時の表情の演じ分けがリアル。ラストには安心した。,3,4,1,2,4,1,2,3
耳をすませば(実写),元々ジブリ版が好きで実写も見ましたが、ジブリ版と違う部分がとても気になってしまいました。そもそも、続編のようなPR内容だったのに、そもそも主人公の夢が違ったり、作品内に〇年前というのはジブリまんまなので逆に気になりました。,2,2,2,2,2,1,1,1
ゴジラ　-1.0,ゴジラの迫力が凄かった。戦争について考えさせられる内容だった。,5,4,1,3,1,4,4,5
となりのトトロ,トトロの小さいやつ(ズクとミン)が可愛い。トトロの別名がミミンズクらいしい,4,3,3,2,1,4,3,4
あの花が咲く丘で、君とまた出会えたら。,戦争を題材にしたラブストーリで、とても泣ける映画だった。,5,5,1,2,3,3,1,3
マスカレード・ホテル,伏線の回収され方と世界観がよかった。,4,1,3,1,1,2,2,4
変な家,原作にあまり忠実ではない。かなりつまらない。ミステリーなのかホラーなのかよくわからなかったし主人公の倫理観を疑う。,1,1,1,1,1,4,1,3
おそ松さん（実写）,Snow Man目当てで見たが、おもしろくなかった。,1,1,3,1,1,1,1,1
ミラベルと魔法だらけの家,音楽がたくさんあって楽しい、グラフィックもきれいで魔法が美しく見える,4,3,4,2,2,3,3,3
竜とそばかすの姫,落ちが少し強引、期待値よりははるかに下の結末,2,2,2,2,2,2,3,3
この子は邪悪,出演者目当てで見たがグロくて映画館で見たことを公開した。,3,3,1,1,2,5,1,5
聲の形,主人公の成長感激。心動かされる作品。,4,5,4,5,3,1,2,2
ホーンテッドマンション,ディズニーランド行きたくなった。アトラクションのシーンがたくさんあっておもしろかった,4,3,2,1,1,3,5,5
ティファニーで朝食を,オードリーヘップバーンが美人！,3,3,4,2,3,1,3,3
おおかみこどもの雨と雪,同じよう年齢の主人公が子供を育ててすごい。考えさせられる映画。,5,5,3,5,2,2,2,3
ミーガン,AIロボットが意思を持って人をたくさん殺すので怖い。殺し方もかなり残酷でつらい。,3,2,2,4,2,5,3,5
THE GREATEST SHOWMAN,音楽最高。いつ見ても泣ける。あっという間に終わる。,5,4,2,4,3,2,5,5
ハイキュー~ゴミ捨て場の決戦~,ハイキュウー好きにはたまらない。アニメーションのクオリティが高すぎる。,5,5,5,4,3,3,5,5
それいけ！アンパンマン ばいきんまんとえほんのルルン,自分が大人になったことを自覚する。途中で眠くなる。,1,1,2,1,1,1,1,1
帝一の國,くだらなくて面白かった。キャストがえぐい、目の保養。,3,3,5,3,3,2,3,2
愛がなんだ,クズ男にはまる女の子の話。1人1人の心情がかなり細かくくみ取れて人間みを感じていい。,5,4,4,5,5,2,3,4
花束みたいな恋をした,描写が全部リアルで好き。社会人になることによる変化の違い、価値観の違いは大きいのだと思った。,5,5,3,3,5,2,2,4
カールじいさんの空飛ぶ家,ラッセルという男の子のせいでカールじいさんに迷惑ばかりかけていてイライラしました。,1,1,1,1,1,1,5,2
アクアマン,世界観が豪華でまあまあ面白かった。海の中の作り方が少しCG感あったけどそれもまた趣があると思った,3,2,2,2,2,1,3,4
ザリガニの鳴くところ,サスペンスとうたっているがほぼほぼ恋愛シーンの回想で埋まっているため見る人を選ぶ。私は結末も後味が悪かった,1,1,1,1,2,1,1,1
純と愛（朝ドラ）,はなしがつまらなかった。起承転結すべてが中途半端だった。,1,2,2,1,2,1,1,1
かぐや様は告らせたい　実写,漫画原作の実写はだいたいダメ。映画オリジナルストーリーは良くない。,2,1,4,1,2,1,1,1
Free~Final Stroke~,Free!!シリーズで計５作を映画化している人気水泳アニメシリーズであり、スポコン好きにはたまらない。登場人物たちの進路の結末は何回見ても泣いてる,5,5,4,1,3,1,4,4
竜とそばかすの姫,面白くない。眠くなる。歌は良かった。,1,1,1,2,1,1,1,1
ミスぺレグリンと奇妙な子供たち,何度でも見たい,1,1,2,1,3,5,5,5
カインとアベル（ドラマ）,話が面白くなかった。俳優の無駄遣い,1,1,1,1,2,1,1,3
浅田家,震災を題材としており、思い出の海が大切な人を奪っていったという内容に涙止まらなかったです。,4,5,1,2,1,2,1,1
チャーリーとチョコレート工場,工場の中がすべてお菓子で作られていてとても美味しそう。かわいい。,5,1,3,1,1,1,4,2
厨房のありす,知的障がい者の勉強にもなる。永瀬連がかっこいい,4,3,4,4,5,2,3,2
リトルマーメイド(実写),CGをたくさん使っていてちょっと違和感がたくさんあったけどそれもそれで面白かった。なにより歌がいいですね,5,3,2,1,2,1,3,2
ハリーポッターシリーズ,やっぱ魔法が使える世界って憧れますよね,5,1,2,3,1,2,4,3
キャラクター,深瀬さんが奇妙で最高に怖かった。でもすごくおもしろかった。,5,1,1,1,2,5,3,5
言の葉の庭　　　,しんかいまっことの名作、新宿御苑すこ,5,3,1,4,3,1,3,3
すずめの戸締り,世間からの評価は高いが、ラストが腑に落ちなかった。作画は良かった。,1,2,2,2,1,1,3,3
妖怪ウォッチFOREVER FRIENDS,他の映画と話が繋がっていて面白かった。キャラの情報量が途中から多すぎた感あり,5,4,3,1,1,1,5,2
となりのトトロ,もっとも有名ともいえるジブリ作品ですが、3歳ごろまで毎日見るぐらい好きでいまだにセリフ言えるのでは、って程見てます。いつ見ても最後まで見たくなる作品です。,5,4,2,1,1,1,3,1
らくだい魔女　フウカと闇の魔女,昔読んでいた人は懐かしい気持ちになると思います。作画も声もよかった。,4,1,3,1,4,2,3,3
ハニーレモンソーダ,原作が好きだから最後まで見れなかった。,2,1,1,1,2,1,1,1
チアダン,おもしろい。すごい。広瀬すずがかわいい。,5,5,1,3,1,1,4,3
劇場版ラジエーションハウス,ドラマが好きで見に行ったが、いまいちだった。,2,3,3,5,2,3,3,2
僕が愛したすべての君へ,君を愛した1人の僕へとつながってる,5,3,2,4,3,1,5,5
君を愛した1人の僕へ,僕が愛したすべての君へとつながってる,5,3,2,4,2,1,5,5
タイタニック,何回見ても泣ける,5,5,4,3,4,4,5,5
バッドランズ,ハラハラする。闇の組織かっこいい,4,4,3,2,4,5,4,5
思い出のマーニー,主人公とマーニーの過ごした日々が美しくて泣けます。,4,5,1,3,3,3,4,5
二ノ国,つまらなすぎて最後まで見れませんでした。懲役2時間。罰金２０００円,1,1,1,1,1,1,1,1
orange,青春ラブストーリーでとても泣ける映画。,5,5,1,1,4,1,1,1
夏へのトンネルさよならの出口,タイムスリップすきなひとにはおすすめ,5,5,3,3,4,2,5,5
Gメン,ただおもしろい学園もの,4,2,5,1,3,3,4,4
バケモノの子,細田守の作品。ストーリーがとても良かった。感動しました。,5,5,5,2,2,1,5,5
ソードアート･オンライン －プログレッシブ－ 冥き夕闇のスケルツォ,SAOが好きな私にとっては最高の作品。１期のモーションエフェクトよりさらに細かくて興奮した。8回は見た。,5,4,2,4,4,1,5,5
ウエディングハイ,展開が早くて飽きない,4,1,5,1,2,1,5,5
もののけ姫,誇張なしで、全人類履修するべき。生きろ。そなたは美しい。,5,5,2,5,2,4,4,5
ジグソウ：ソウ・レガシー,ずっとハラハラしていた。,4,1,1,1,1,5,1,5
空の向こう、約束の場所,新海誠の作品が好きな人にぜひ見てほしい作品。見終わったあとの爽快感はないが、ストーリーがほかにないものなのでおすすめ、,4,4,1,1,3,2,4,4
僕は明日、昨日の君とデートする,2回めに見たほうが泣ける,5,5,3,4,5,3,5,5
ダヴィンチコード,宗教画の鑑賞が好きな人、謎解きが好きな人にぜひ見てほしい作品。実際のキリスト教のエピソードが混ざっているので、飽きる瞬間がなく、わくわくする,5,2,2,4,1,2,4,4
異動辞令は音楽隊!,伏線がよかった。,5,2,1,1,1,1,2,3
文豪ストレイドッグス　DEAD APPLE,アニメ勢として楽しめるが映画じゃなくてアニメの一部として放送してほしかった。映画だけだと理解が難しい,3,1,1,1,2,4,3,5
陽だまりの彼女,本で読んだ世界を越えられなかった,2,3,1,1,3,1,3,1
モンスターズ・インク,サリーとブーの別れのシーンに感動した。,5,5,5,2,1,2,5,5
劇場版ポケットモンスター水の都の護神ラティアスとラティオス,当時のアニメーション界隈ではあまり多用されていなかったカメラワークがもはや芸術レベルに美しいです。ラストも最高,5,5,5,5,5,1,5,4
ONE PIECE FILM RED,ライブの臨場感が映画館で見ると圧倒的で最後は号泣しました。3Dと2Dの最高の組み合わせがアクションの良さを後押ししていて迫力満載です。,5,5,2,2,1,0,5,5
機動戦士ガンダムSEED FREEDOM,seed系統の作品は約２０年ぶりの新作で、最新のガンダムシリーズの作画をアレンジしていて最高でした。西川貴教の主題歌も最高！,5,5,3,3,4,4,3,5
クルエラ,演技はいいが、落ちは典型的。予測がしやすい展開,3,2,2,2,1,2,3,3
ピーチガール,山本美月がかわいかった,4,3,3,1,5,1,2,
美しい彼～eternal～,出演者が好きでドラマから見ていますが、BLでも美しさのある映像と内容に見入ってしまい、ネットフリックスで何度も見ています。,5,3,2,1,5,1,1,1
マレフィセント(実写),アニメでは悪役描かれていたが、実はとてもやさしい心の持ち主であることがわかり、とても感動した。,5,3,1,2,2,2,1,3
パラサイト,結末が悲惨,5,0,2,3,0,5,5,5
陰陽師0,最初は意味わからないけど、後半になると面白い。,3,1,2,1,1,1,1,1
文豪ストレイドッグス（the beast),実写のクオリティーはあるが、展開がありきたり。舞台のほうが好き,1,1,2,1,2,2,1,3
KINGDOM,原作もいいですが、実写はキャストが豪華でアクションなどの迫力もとてもすごいです！,5,4,1,5,0,3,4,5
禁じられた遊び,ホラーが苦手な人でも見られると思う,2,1,2,2,1,3,4,5
ピンクとグレー,原作と違いすぎてついていけなかった。話としても中途半端だった。,1,1,1,1,1,1,1,1
コンスタンティン,天国と地獄の戦いで、少し中二病のようなアクションもあるが、迫力がありストーリーも面白かった。,4,1,1,1,1,3,4,4
恋と嘘,とにかくつまらないアニメの下位互換,2,3,3,2,3,1,2,3
図書館戦争(実写),別に悪くはないけど、原作との違いが多くてちょっとやだ。,3,4,2,2,4,3,3,4
100日間生きたワニ,(見た方がいたら是非評価しなおしてください)正直見ていないので評価を下げるのは大変おこがましいですが、全体の調和のために入れてみました,1,1,3,5,1,1,1,1
追憶の森,メイクがリアルでグロく感じた。遭難もの。,3,1,1,1,1,3,1,4
花より男子　ファイナル,道明寺と牧野がともに試練に立ち向かうところがよかった。最後に牧野が道明寺に子供ができたことを報告するシーンがとてもよかった。,5,3,4,2,5,1,5,3
トイストーリー3,何回見ても飽きない。トイストーリーシリーズの中で一番いい。,5,5,3,4,2,1,4,3
ピーチガール,青春映画。結構な大人が高校生役をしていたので、役者の方若いなと思いつつ、実際の高校生に近い年齢の子がやったほうが良かったのではと思った。,2,1,4,1,4,1,2,2
デッドデッドデーモンズデデデデデストラクション,前編後編に分かれており、浅野いにおの漫画初の映画化作品。ストーリーがたくさんの伏線が散らばっていて面白かった。キャラクターデザインが独特であまりかっこよくないのに声優の声が良すぎて内容が頭に入ってこない時もあった。,4,5,4,2,2,1,4,4
塔の上のラプンツェル,きれい,4,3,2,2,4,1,2,2
響けユーフォニアム誓いのフィナーレ,泣いた。吹奏楽。,5,5,2,3,2,3,5,5
君に届け,高校時代にこんな青春がしたかった！,5,5,4,5,5,1,5,
四月は君の嘘,遠い記憶だけど、そこそこ面白かったと思う,4,5,3,5,5,1,4,5
さよならの朝に約束の花をかざろう,大号泣。成長していく少年と時が止まったままの少女の親子の絆の話。,5,5,2,1,1,1,3,3
シュガーラッシュ,ゲームの中のお話で、色の使い方がポップでかわいかった。助け合うメインキャラクター達素敵,4,2,3,1,1,1,3,1
ギヴン,アニメの続編を映画化。漫画では得られないアニメ特有のオリジナルソングや演奏がとても面白く、恋愛映画ならではの切なさもありとても面白かった。,4,5,3,1,5,1,1,1
ラーゲリより愛を込めて,理不尽な状況の中で日本に帰れると信じ周りを励まし続けた山本さんの姿に感動した,5,5,2,5,2,3,2,5
インサイドヘッド,頭の中の感情や記憶の物語で、とても感動するし、記憶の大切さを知りました。,4,5,2,3,1,1,4,1
マイエレメント,ディズニーピクサー初の恋愛主軸の映画だったが本当にいろいろな個性の人がいる中で認め合っていく内容に涙が止まらなかった,5,5,5,5,5,1,4,3
リメンバー・ミー,家族愛に泣ける。映像もきれいで歌もよい。,5,5,4,4,1,2,4,3
ファンタスティックビースト ダンブルドアの秘密,賛否両論ありますが俳優問題で色々あったグリンデルバルドを演じきったマッツミケルセンを見てください。あとダンブルドアとの関係も。カニみたいな虫みたいなやつは本当に気持ち悪かった。,5,1,3,2,5,3,5,5
銀魂,個人的にはアニメのほうが好き。キャストはすごく豪華,3,4,4,1,2,2,4,4
サイレントラブ,ピアノが好きだから、知ってる曲たくさん流れて楽しかったけど、結構暴力的で怖かった。顔が美しかった。,3,2,1,2,3,4,1,3
SPY FAMILY CODE:White,完全オリジナルのシナリオだったが、全登場人物が活躍していてちゃんと面白かった。アーニャがかわいい。,3,3,3,1,3,1,4,3
花束みたいな恋をした,ウワーーーーーーーーってなった,4,5,1,3,5,2,3,2
君たちはどう生きるか,わらわらかわいい,4,3,1,1,1,3,5,5
ホッタラケの島,小学生の時に家で見ていて異世界に吸い込まれる感じがすごく怖く感じて大泣きした記憶があります。内容としてはとても感動的で、人間がいらなくなってほったらかしにしたものを集める異世界の物語,3,4,1,1,1,4,2,2
ベイマックス,とても感動した。ベイマックスのようなケアロボットが欲しい。,5,5,3,4,2,3,5,3
アーロと少年,ディズニー映画。心温まる系。,3,3,3,3,3,3,3,3
ズートピア,前向きになれる作品,5,4,2,1,4,1,5,5
映画　五等分の花嫁,各ヒロインに焦点を当ててのストーリーが映えていてよかったです。,4,4,2,1,5,1,2,2
ハウルの動く城,音楽が良すぎる。,3,4,3,1,4,1,5,4
妖怪ウォッチ　エンマ大王と5つの物語だニャン!,短編でいろいろ楽しめてよかった。自分の場合懐かしさで泣きました。感動要素もあると思います。,5,4,4,1,1,1,5,2
ナミヤ雑貨店の奇蹟,感動。人とのつながりの温かさを感じる。,4,5,1,1,1,1,1,1
99.9 the movie,あまり推理系の映画として、ハラハラはしない。落ちは嫌いではないが、シンプルな終わり方。,2,1,3,2,1,1,2,2
ザ・スーパーマリオブラザーズ・ムービー,任天堂が本気出して作った感のあるクオリティ。4DXIMAXが最高だった,4,1,4,1,2,3,5,5
バイオハザードⅢ,ミラ・ジョヴォヴィッチがほんとにかっこいい。ハラハラドキドキです。,4,3,3,1,3,5,5,5
PとJK,何も面白くない。亀梨君がかっこよかった。,1,1,1,1,3,1,1,1
モエカレはオレンジ色,最近何の映画を見ても感動しなかったけど、これはすごくキュンキュンした。,5,5,5,5,5,1,5,5
秒速5センチメートル,成長過程がみれる,4,4,2,4,3,1,2,2
呪術廻戦０,呪術師の物語が面白い。,4,2,2,1,0,2,5,5
ミステリと言う勿れ,ドラマがかなり評価の高い中での映画だったが期待通りの脚本の良さであった。菅田将暉さんの演技力に引き込まれました,5,5,5,2,1,3,5,5
スターウォーズ,おもろい。曲がいい。海外の俳優さんかっこいい。,4,2,2,3,2,4,5,5
サイコパス~providence~,時系列がアニメの間だったためアニメを見ているほうがより理解できると思う。近現代的な世界観はいろいろと考えさせるものがあるし、アニメでの伏線が映画で回収されていて面白かった。,4,4,2,4,1,4,5,5
明け方の若者たち　　,びっくり展開　確かマカロニえんぴつ主題歌,4,2,4,3,5,1,2,3
モアナと伝説の海,音楽が素敵。水の表現が綺麗。今年？モアナと伝説の海２がでるので楽しみ。,5,5,4,1,1,3,3,3
LA・LA・LAND,切ない恋愛映画。曲がめっちゃいい。,3,4,2,4,5,2,4,3
聲の形,難聴の子とその子をいじめてた人の話　絵がきれい　とても考えさせられる 名作,,,,,,,,
信長協奏曲,ドラマが好きで映画を見ましたが、ドラマでの伏線をすべて回収していき、現代に戻ったサブローと戦国時代の人との最後のやり取りがとても感動しました。,5,5,2,1,2,1,1,3
トップガン　マーベリック,トム・クルーズかっこいい,5,4,3,2,3,1,4,5
天使にラブソングを,作中の音楽も、リアルなストーリーもよかった。,5,5,5,5,2,3,5,5
パラサイト,韓国の映画　ラストが韓国っぽい,5,1,5,4,1,5,5,5
青夏,演者が高校生っぽくなくてリアルさに欠けた。,3,4,3,2,4,1,3,2
アナログ,藤原丈一郎デビュー後映画初出演。顔がよかった。,5,5,2,3,5,1,2,1
映画謎解きはディナーのあとで,櫻井翔の全盛期、全国民が恋した,5,5,5,4,3,3,5,4
なのに、千輝くんが甘すぎる,高橋恭平、顔がいい　畑芽育ちゃんかわいい,5,2,3,2,5,1,5,2
今夜、世界からこの恋が消えても,めちゃくちゃ泣いた。記憶をなくしていってしまう話。,5,5,3,5,5,2,2,4
アルマゲドン,丈くんが最近泣いたって言ってたから見た,5,5,3,5,5,3,3,5
銀魂～万屋よ永遠なれ～,ジャンプで連載している銀魂が完全オリジナルシナリオでの映画化。時間が交錯するので構成がしっかりしていないとつまらなくなるのが多い中しっかり辻褄が合う内容で面白かった。銀魂特有のギャグも健在で笑いあり涙ありがとことん似合う映画だった。何回でも見れる。,5,5,5,1,1,1,5,5
劇場版メイドインアビス,メイドインアビスの絶望でしか得られない栄養があります。少年少女がグロく傷付くアニメです。作画は可愛いです。,5,5,1,2,2,5,4,5
