映画タイトル,感想,評価,泣ける,笑える,勉強,キュキュン,怖い,ワクワク,ハラハラ,わかち書き
かぐや様は告らせたい　実写,漫画原作の実写はだいたいダメ。映画オリジナルストーリーは良くない。,2,1,4,1,2,1,1,1,漫画 原作 の 実写 は だいたい ダメ 。 映画 オリジナル ストーリー は 良い ない 。
Free~Final Stroke~,Free!!シリーズで計５作を映画化している人気水泳アニメシリーズであり、スポコン好きにはたまらない。登場人物たちの進路の結末は何回見ても泣いてる,5,5,4,1,3,1,4,4,Free ! ! シリーズ で 計 5 作 を 映画化 する て いる 人気 水泳 アニメ シリーズ だ ある 、 スポコン 好き だ は たまる ない 。 登場 人物 たち の 進路 の 結末 は 何回 見る て も 泣く てる
竜とそばかすの姫,面白くない。眠くなる。歌は良かった。,1,1,1,2,1,1,1,1,面白い ない 。 眠い なる 。 歌 は 良い た 。
ミスぺレグリンと奇妙な子供たち,何度でも見たい,1,1,2,1,3,5,5,5,何度 で も 見る たい
カインとアベル（ドラマ）,話が面白くなかった。俳優の無駄遣い,1,1,1,1,2,1,1,3,話 が 面白い ない た 。 俳優 の 無駄遣い
浅田家,震災を題材としており、思い出の海が大切な人を奪っていったという内容に涙止まらなかったです。,4,5,1,2,1,2,1,1,震災 を 題材 と する て おる 、 思い出 の 海 が 大切 だ 人 を 奪う て いく た と いう 内容 に 涙 止まる ない た です 。
チャーリーとチョコレート工場,工場の中がすべてお菓子で作られていてとても美味しそう。かわいい。,5,1,3,1,1,1,4,2,工場 の 中 が すべて お菓子 で 作る れる て いる て とても 美味しい そう 。 かわいい 。
厨房のありす,知的障がい者の勉強にもなる。永瀬連がかっこいい,4,3,4,4,5,2,3,2,知的 障がい者 の 勉強 に も なる 。 永瀬 連 が かっこいい
リトルマーメイド(実写),CGをたくさん使っていてちょっと違和感がたくさんあったけどそれもそれで面白かった。なにより歌がいいですね,5,3,2,1,2,1,3,2,CG を たくさん 使う て いる て ちょっと 違和感 が たくさん ある た けど それ も それ で 面白い た 。 なに より 歌 が いい です ね
ハリーポッターシリーズ,やっぱ魔法が使える世界って憧れますよね,5,1,2,3,1,2,4,3,やっぱ 魔法 が 使える 世界 って 憧れる ます よ ね
キャラクター,深瀬さんが奇妙で最高に怖かった。でもすごくおもしろかった。,5,1,1,1,2,5,3,5,深瀬 さん が 奇妙 だ 最高 だ 怖い た 。 で も すごい おもしろい た 。
言の葉の庭　　　,しんかいまっことの名作、新宿御苑すこ,5,3,1,4,3,1,3,3,しんかい まつ こと の 名作 、 新宿御苑 すく
すずめの戸締り,世間からの評価は高いが、ラストが腑に落ちなかった。作画は良かった。,1,2,2,2,1,1,3,3,世間 から の 評価 は 高い が 、 ラスト が 腑 に 落ちる ない た 。 作画 は 良い た 。
妖怪ウォッチFOREVER FRIENDS,他の映画と話が繋がっていて面白かった。キャラの情報量が途中から多すぎた感あり,5,4,3,1,1,1,5,2,他 の 映画 と 話 が 繋がる て いる て 面白い た 。 キャラ の 情報量 が 途中 から 多い すぎる た 感 あり
となりのトトロ,もっとも有名ともいえるジブリ作品ですが、3歳ごろまで毎日見るぐらい好きでいまだにセリフ言えるのでは、って程見てます。いつ見ても最後まで見たくなる作品です。,5,4,2,1,1,1,3,1,もっとも 有名 と も いえる ジブリ 作品 です が 、 3 歳 ごろ まで 毎日 見る ぐらい 好き だ いまだ に セリフ 言える の だ は 、 って 程 見る てる ます 。 いつ 見る て も 最後 まで 見る たい なる 作品 です 。
らくだい魔女　フウカと闇の魔女,昔読んでいた人は懐かしい気持ちになると思います。作画も声もよかった。,4,1,3,1,4,2,3,3,昔 読む で いる た 人 は 懐かしい 気持ち に なる と 思う ます 。 作画 も 声 も よい た 。
ハニーレモンソーダ,原作が好きだから最後まで見れなかった。,2,1,1,1,2,1,1,1,原作 が 好き だ から 最後 まで 見れる ない た 。
チアダン,おもしろい。すごい。広瀬すずがかわいい。,5,5,1,3,1,1,4,3,おもしろい 。 すごい 。 広瀬 すず が かわいい 。
劇場版ラジエーションハウス,ドラマが好きで見に行ったが、いまいちだった。,2,3,3,5,2,3,3,2,ドラマ が 好き だ 見る に 行く た が 、 いまいち だ た 。
僕が愛したすべての君へ,君を愛した1人の僕へとつながってる,5,3,2,4,3,1,5,5,君 を 愛する た 1人 の 僕 へ と つながる てる
君を愛した1人の僕へ,僕が愛したすべての君へとつながってる,5,3,2,4,2,1,5,5,僕 が 愛する た すべて の 君 へ と つながる てる
タイタニック,何回見ても泣ける,5,5,4,3,4,4,5,5,何回 見る て も 泣ける
バッドランズ,ハラハラする。闇の組織かっこいい,4,4,3,2,4,5,4,5,ハラハラ する 。 闇 の 組織 かっこ いい
思い出のマーニー,主人公とマーニーの過ごした日々が美しくて泣けます。,4,5,1,3,3,3,4,5,主人公 と マーニー の 過ごす た 日々 が 美しい て 泣ける ます 。
二ノ国,つまらなすぎて最後まで見れませんでした。懲役2時間。罰金２０００円,1,1,1,1,1,1,1,1,つまる ない すぎる て 最後 まで 見れる ます ぬ です た 。 懲役 2 時間 。 罰金 2000 円
orange,青春ラブストーリーでとても泣ける映画。,5,5,1,1,4,1,1,1,青春 ラブストーリー で とても 泣ける 映画 。
夏へのトンネルさよならの出口,タイムスリップすきなひとにはおすすめ,5,5,3,3,4,2,5,5,タイムスリップ すき だ ひと に は おすすめ
Gメン,ただおもしろい学園もの,4,2,5,1,3,3,4,4,ただ おもしろい 学園 もの
バケモノの子,細田守の作品。ストーリーがとても良かった。感動しました。,5,5,5,2,2,1,5,5,細田 守 の 作品 。 ストーリー が とても 良い た 。 感動 する ます た 。
ソードアート･オンライン －プログレッシブ－ 冥き夕闇のスケルツォ,SAOが好きな私にとっては最高の作品。１期のモーションエフェクトよりさらに細かくて興奮した。8回は見た。,5,4,2,4,4,1,5,5,sao が 好き だ 私 に とる て は 最高 の 作品 。 1 期 の モーション エフェクト より さらに 細かい て 興奮 する た 。 8 回 は 見る た 。
ウエディングハイ,展開が早くて飽きない,4,1,5,1,2,1,5,5,展開 が 早い て 飽きる ない
もののけ姫,誇張なしで、全人類履修するべき。生きろ。そなたは美しい。,5,5,2,5,2,4,4,5,誇張 なし だ 、 全 人類 履修 する べし 。 生きる 。 そなた は 美しい 。
ジグソウ：ソウ・レガシー,ずっとハラハラしていた。,4,1,1,1,1,5,1,5,ずっと ハラハラ する て いる た 。
空の向こう、約束の場所,新海誠の作品が好きな人にぜひ見てほしい作品。見終わったあとの爽快感はないが、ストーリーがほかにないものなのでおすすめ、,4,4,1,1,3,2,4,4,新海 誠 の 作品 が 好き だ 人 に ぜひ 見る て ほしい 作品 。 見る 終わる た あと の 爽快感 は ない が 、 ストーリー が ほか に ない もの だ の だ お すすめる 、
僕は明日、昨日の君とデートする,2回めに見たほうが泣ける,5,5,3,4,5,3,5,5,2 回 め に 見る た ほう が 泣ける
ダヴィンチコード,宗教画の鑑賞が好きな人、謎解きが好きな人にぜひ見てほしい作品。実際のキリスト教のエピソードが混ざっているので、飽きる瞬間がなく、わくわくする,5,2,2,4,1,2,4,4,宗教画 の 鑑賞 が 好き だ 人 、 謎解き が 好き だ 人 に ぜひ 見る て ほしい 作品 。 実際 の キリスト教 の エピソード が 混ざる て いる の だ 、 飽きる 瞬間 が ない 、 わくわく する
異動辞令は音楽隊!,伏線がよかった。,5,2,1,1,1,1,2,3,伏線 が よい た 。
文豪ストレイドッグス　DEAD APPLE,アニメ勢として楽しめるが映画じゃなくてアニメの一部として放送してほしかった。映画だけだと理解が難しい,3,1,1,1,2,4,3,5,アニメ 勢 と する て 楽しめる が 映画 だ ない て アニメ の 一部 と する て 放送 する て ほしい た 。 映画 だけ だ と 理解 が 難しい
陽だまりの彼女,本で読んだ世界を越えられなかった,2,3,1,1,3,1,3,1,本 で 読む だ 世界 を 越える られる ない た
モンスターズ・インク,サリーとブーの別れのシーンに感動した。,5,5,5,2,1,2,5,5,サリー と ブー の 別れ の シーン に 感動 する た 。
劇場版ポケットモンスター水の都の護神ラティアスとラティオス,当時のアニメーション界隈ではあまり多用されていなかったカメラワークがもはや芸術レベルに美しいです。ラストも最高,5,5,5,5,5,1,5,4,当時 の アニメーション 界隈 で は あまり 多用 する れる て いる ない た カメラワーク が もはや 芸術 レベル に 美しい です 。 ラスト も 最高
ONE PIECE FILM RED,ライブの臨場感が映画館で見ると圧倒的で最後は号泣しました。3Dと2Dの最高の組み合わせがアクションの良さを後押ししていて迫力満載です。,5,5,2,2,1,0,5,5,ライブ の 臨場感 が 映画館 で 見る と 圧倒的 だ 最後 は 号泣 する ます た 。 3 d と 2 d の 最高 の 組み合わせ が アクション の 良い さ を 後押し する て いる て 迫力 満載 です 。
機動戦士ガンダムSEED FREEDOM,seed系統の作品は約２０年ぶりの新作で、最新のガンダムシリーズの作画をアレンジしていて最高でした。西川貴教の主題歌も最高！,5,5,3,3,4,4,3,5,SEED 系統 の 作品 は 約 20 年 ぶり の 新作 で 、 最新 の ガンダム シリーズ の 作画 を アレンジ する て いる て 最高 です た 。 西川 貴教 の 主題歌 も 最高 !
クルエラ,演技はいいが、落ちは典型的。予測がしやすい展開,3,2,2,2,1,2,3,3,演技 は いい が 、 落ち は 典型的 。 予測 が する やすい 展開
ピーチガール,山本美月がかわいかった,4,3,3,1,5,1,2,,山本 美月 が かわいい た
美しい彼～eternal～,出演者が好きでドラマから見ていますが、BLでも美しさのある映像と内容に見入ってしまい、ネットフリックスで何度も見ています。,5,3,2,1,5,1,1,1,出演者 が 好き だ ドラマ から 見る て いる ます が 、 BL で も 美しい さ の ある 映像 と 内容 に 見入る て しまう 、 ネットフリックス で 何度 も 見る て いる ます 。
マレフィセント(実写),アニメでは悪役描かれていたが、実はとてもやさしい心の持ち主であることがわかり、とても感動した。,5,3,1,2,2,2,1,3,アニメ で は 悪役 描く れる て いる た が 、 実 は とても やさしい 心 の 持ち主 だ ある こと が わかる 、 とても 感動 する た 。
パラサイト,結末が悲惨,5,0,2,3,0,5,5,5,結末 が 悲惨
陰陽師0,最初は意味わからないけど、後半になると面白い。,3,1,2,1,1,1,1,1,最初 は 意味 わかる ない けど 、 後半 に なる と 面白い 。
文豪ストレイドッグス（the beast),実写のクオリティーはあるが、展開がありきたり。舞台のほうが好き,1,1,2,1,2,2,1,3,実写 の クオリティー は ある が 、 展開 が ありきたり 。 舞台 の ほう が 好き
KINGDOM,原作もいいですが、実写はキャストが豪華でアクションなどの迫力もとてもすごいです！,5,4,1,5,0,3,4,5,原作 も いい です が 、 実写 は キャスト が 豪華 だ アクション など の 迫力 も とても すごい です !
禁じられた遊び,ホラーが苦手な人でも見られると思う,2,1,2,2,1,3,4,5,ホラー が 苦手 だ 人 で も 見る られる と 思う
ピンクとグレー,原作と違いすぎてついていけなかった。話としても中途半端だった。,1,1,1,1,1,1,1,1,原作 と 違う すぎる て つく て いける ない た 。 話 と する て も 中途半端 だ た 。
コンスタンティン,天国と地獄の戦いで、少し中二病のようなアクションもあるが、迫力がありストーリーも面白かった。,4,1,1,1,1,3,4,4,天国 と 地獄 の 戦い だ 、 少し 中二 病 の よう だ アクション も ある が 、 迫力 が ある ストーリー も 面白い た 。
恋と嘘,とにかくつまらないアニメの下位互換,2,3,3,2,3,1,2,3,とにかく つまる ない アニメ の 下位 互換
図書館戦争(実写),別に悪くはないけど、原作との違いが多くてちょっとやだ。,3,4,2,2,4,3,3,4,別 だ 悪い は ない けど 、 原作 と の 違い が 多い て ちょっと や だ 。
100日間生きたワニ,(見た方がいたら是非評価しなおしてください)正直見ていないので評価を下げるのは大変おこがましいですが、全体の調和のために入れてみました,1,1,3,5,1,1,1,1,( 見る た 方 が いる た 是非 評価 する なおす て くださる ) 正直 見る て いる ない の だ 評価 を 下げる の は 大変 おこがましい です が 、 全体 の 調和 の ため に 入れる て みる ます た
追憶の森,メイクがリアルでグロく感じた。遭難もの。,3,1,1,1,1,3,1,4,メイク が リアル だ グロい 感ずる た 。 遭難 もの 。
花より男子　ファイナル,道明寺と牧野がともに試練に立ち向かうところがよかった。最後に牧野が道明寺に子供ができたことを報告するシーンがとてもよかった。,5,3,4,2,5,1,5,3,道明寺 と 牧野 が とも に 試練 に 立ち向かう ところ が よい た 。 最後 に 牧野 が 道明寺 に 子供 が できる た こと を 報告 する シーン が とても よい た 。
トイストーリー3,何回見ても飽きない。トイストーリーシリーズの中で一番いい。,5,5,3,4,2,1,4,3,何回 見る て も 飽きる ない 。 トイストーリーシリーズ の 中 で 一番 いい 。
ピーチガール,青春映画。結構な大人が高校生役をしていたので、役者の方若いなと思いつつ、実際の高校生に近い年齢の子がやったほうが良かったのではと思った。,2,1,4,1,4,1,2,2,青春 映画 。 結構 だ 大人 が 高校生 役 を する て いる た の だ 、 役者 の 方 若い な と 思う つつ 、 実際 の 高校生 に 近い 年齢 の 子 が やる た ほう が 良い た の だ は と 思う た 。
デッドデッドデーモンズデデデデデストラクション,前編後編に分かれており、浅野いにおの漫画初の映画化作品。ストーリーがたくさんの伏線が散らばっていて面白かった。キャラクターデザインが独特であまりかっこよくないのに声優の声が良すぎて内容が頭に入ってこない時もあった。,4,5,4,2,2,1,4,4,前編 後編 に 分かれる て おる 、 浅野 い に お の 漫画 初 の 映画化 作品 。 ストーリー が たくさん の 伏線 が 散らばる て いる て 面白い た 。 キャラクター デザイン が 独特 だ あまり かっこ よい ない の に 声優 の 声 が 良い すぎる て 内容 が 頭 に 入る て くる ない 時 も ある た 。
塔の上のラプンツェル,きれい,4,3,2,2,4,1,2,2,きれい
響けユーフォニアム誓いのフィナーレ,泣いた。吹奏楽。,5,5,2,3,2,3,5,5,泣く た 。 吹奏 楽 。
君に届け,高校時代にこんな青春がしたかった！,5,5,4,5,5,1,5,,高校 時代 に こんな 青春 が する たい た !
四月は君の嘘,遠い記憶だけど、そこそこ面白かったと思う,4,5,3,5,5,1,4,5,遠い 記憶 だ けど 、 そこそこ 面白い た と 思う
さよならの朝に約束の花をかざろう,大号泣。成長していく少年と時が止まったままの少女の親子の絆の話。,5,5,2,1,1,1,3,3,大 号泣 。 成長 する て いく 少年 と 時 が 止まる た まま の 少女 の 親子 の 絆 の 話 。
シュガーラッシュ,ゲームの中のお話で、色の使い方がポップでかわいかった。助け合うメインキャラクター達素敵,4,2,3,1,1,1,3,1,ゲーム の 中 の お 話 だ 、 色 の 使い方 が ポップ で かわいい た 。 助け合う メイン キャラクター 達 素敵
ギヴン,アニメの続編を映画化。漫画では得られないアニメ特有のオリジナルソングや演奏がとても面白く、恋愛映画ならではの切なさもありとても面白かった。,4,5,3,1,5,1,1,1,アニメ の 続編 を 映画化 。 漫画 で は 得る られる ない アニメ 特有 の オリジナル ソング や 演奏 が とても 面白い 、 恋愛 映画 なり で は の 切ない さ も ある とても 面白い た 。
ラーゲリより愛を込めて,理不尽な状況の中で日本に帰れると信じ周りを励まし続けた山本さんの姿に感動した,5,5,2,5,2,3,2,5,理不尽 だ 状況 の 中 で 日本 に 帰れる と 信ずる 周り を 励ます 続ける た 山本 さん の 姿 に 感動 する た
インサイドヘッド,頭の中の感情や記憶の物語で、とても感動するし、記憶の大切さを知りました。,4,5,2,3,1,1,4,1,頭 の 中 の 感情 や 記憶 の 物語 だ 、 とても 感動 する し 、 記憶 の 大切 さ を 知る ます た 。
マイエレメント,ディズニーピクサー初の恋愛主軸の映画だったが本当にいろいろな個性の人がいる中で認め合っていく内容に涙が止まらなかった,5,5,5,5,5,1,4,3,ディズニー ピクサー 初 の 恋愛 主軸 の 映画 だ た が 本当 に いろいろ だ 個性 の 人 が いる 中 で 認め合う て いく 内容 に 涙 が 止まる ない た
リメンバー・ミー,家族愛に泣ける。映像もきれいで歌もよい。,5,5,4,4,1,2,4,3,家族 愛 に 泣ける 。 映像 も きれい だ 歌 も よい 。
ファンタスティックビースト ダンブルドアの秘密,賛否両論ありますが俳優問題で色々あったグリンデルバルドを演じきったマッツミケルセンを見てください。あとダンブルドアとの関係も。カニみたいな虫みたいなやつは本当に気持ち悪かった。,5,1,3,2,5,3,5,5,賛否 両論 ある ます が 俳優 問題 で 色々 ある た グリンデルバルド を 演ずる きる た マッツミケルセン を 見る て くださる 。 あと ダンブルドア と の 関係 も 。 カニ みたい だ 虫 みたい だ やつ は 本当 に 気持ち 悪い た 。
銀魂,個人的にはアニメのほうが好き。キャストはすごく豪華,3,4,4,1,2,2,4,4,個人的 だ は アニメ の ほう が 好き 。 キャスト は すごい 豪華
サイレントラブ,ピアノが好きだから、知ってる曲たくさん流れて楽しかったけど、結構暴力的で怖かった。顔が美しかった。,3,2,1,2,3,4,1,3,ピアノ が 好き だ から 、 知る てる 曲 たくさん 流れる て 楽しい た けど 、 結構 暴力的 だ 怖い た 。 顔 が 美しい た 。
SPY FAMILY CODE:White,完全オリジナルのシナリオだったが、全登場人物が活躍していてちゃんと面白かった。アーニャがかわいい。,3,3,3,1,3,1,4,3,完全 オリジナル の シナリオ だ た が 、 全 登場 人物 が 活躍 する て いる て ちゃんと 面白い た 。 アーニャ が かわいい 。
花束みたいな恋をした,ウワーーーーーーーーってなった,4,5,1,3,5,2,3,2,ウワー って なる た
君たちはどう生きるか,わらわらかわいい,4,3,1,1,1,3,5,5,わらわら かわいい
ホッタラケの島,小学生の時に家で見ていて異世界に吸い込まれる感じがすごく怖く感じて大泣きした記憶があります。内容としてはとても感動的で、人間がいらなくなってほったらかしにしたものを集める異世界の物語,3,4,1,1,1,4,2,2,小学生 の 時 に 家 で 見る て いる て 異世界 に 吸い込む れる 感じ が すごい 怖い 感ずる て 大泣き する た 記憶 が ある ます 。 内容 と する て は とても 感動的 だ 、 人間 が いる ない なる て ほったらかし に する た もの を 集める 異世界 の 物語
ベイマックス,とても感動した。ベイマックスのようなケアロボットが欲しい。,5,5,3,4,2,3,5,3,とても 感動 する た 。 ベイマックス の よう だ ケアロボット が 欲しい 。
アーロと少年,ディズニー映画。心温まる系。,3,3,3,3,3,3,3,3,ディズニー 映画 。 心 温まる 系 。
ズートピア,前向きになれる作品,5,4,2,1,4,1,5,5,前向き だ なれる 作品
映画　五等分の花嫁,各ヒロインに焦点を当ててのストーリーが映えていてよかったです。,4,4,2,1,5,1,2,2,各 ヒロイン に 焦点 を 当てる て の ストーリー が 映える て いる て よい た です 。
ハウルの動く城,音楽が良すぎる。,3,4,3,1,4,1,5,4,音楽 が 良い すぎる 。
妖怪ウォッチ　エンマ大王と5つの物語だニャン!,短編でいろいろ楽しめてよかった。自分の場合懐かしさで泣きました。感動要素もあると思います。,5,4,4,1,1,1,5,2,短編 で いろいろ 楽しめる て よい た 。 自分 の 場合 懐かしい さ で 泣く ます た 。 感動 要素 も ある と 思う ます 。
ナミヤ雑貨店の奇蹟,感動。人とのつながりの温かさを感じる。,4,5,1,1,1,1,1,1,感動 。 人 と の つながり の 温かさ を 感じる 。
99.9 the movie,あまり推理系の映画として、ハラハラはしない。落ちは嫌いではないが、シンプルな終わり方。,2,1,3,2,1,1,2,2,あまり 推理 系 の 映画 と する て 、 ハラハラ は する ない 。 落ち は 嫌い だ は ない が 、 シンプル だ 終わる 方 。
ザ・スーパーマリオブラザーズ・ムービー,任天堂が本気出して作った感のあるクオリティ。4DXIMAXが最高だった,4,1,4,1,2,3,5,5,任天堂 が 本気 出す て 作る た 感 の ある クオリティ 。 4 dximax が 最高 だ た
バイオハザードⅢ,ミラ・ジョヴォヴィッチがほんとにかっこいい。ハラハラドキドキです。,4,3,3,1,3,5,5,5,ミラ ・ ジョヴォヴィッチ が ほんと に かっこいい 。 ハラハラ ドキドキ です 。
PとJK,何も面白くない。亀梨君がかっこよかった。,1,1,1,1,3,1,1,1,何 も 面白い ない 。 亀梨 君 が かっこ よい た 。
モエカレはオレンジ色,最近何の映画を見ても感動しなかったけど、これはすごくキュンキュンした。,5,5,5,5,5,1,5,5,最近 何 の 映画 を 見る て も 感動 する ない た けど 、 これ は すごい キュンキュン する た 。
秒速5センチメートル,成長過程がみれる,4,4,2,4,3,1,2,2,成長 過程 が みれる
呪術廻戦０,呪術師の物語が面白い。,4,2,2,1,0,2,5,5,呪術師 の 物語 が 面白い 。
ミステリと言う勿れ,ドラマがかなり評価の高い中での映画だったが期待通りの脚本の良さであった。菅田将暉さんの演技力に引き込まれました,5,5,5,2,1,3,5,5,ドラマ が かなり 評価 の 高い 中 で の 映画 だ た が 期待 通り の 脚本 の 良い さ だ ある た 。 菅田 将暉 さん の 演技力 に 引き込む れる ます た
スターウォーズ,おもろい。曲がいい。海外の俳優さんかっこいい。,4,2,2,3,2,4,5,5,おもろい 。 曲 が いい 。 海外 の 俳優 さん かっこいい 。
サイコパス~providence~,時系列がアニメの間だったためアニメを見ているほうがより理解できると思う。近現代的な世界観はいろいろと考えさせるものがあるし、アニメでの伏線が映画で回収されていて面白かった。,4,4,2,4,1,4,5,5,時系列 が アニメ の 間 だ た ため アニメ を 見る て いる ほう が より 理解 できる と 思う 。 近現代 的 だ 世界観 は いろいろ と 考える させる もの が ある し 、 アニメ で の 伏線 が 映画 で 回収 する れる て いる て 面白い た 。
明け方の若者たち　　,びっくり展開　確かマカロニえんぴつ主題歌,4,2,4,3,5,1,2,3,びっくり 展開 　 確か マカロニ えんぴつ 主題歌
モアナと伝説の海,音楽が素敵。水の表現が綺麗。今年？モアナと伝説の海２がでるので楽しみ。,5,5,4,1,1,3,3,3,音楽 が 素敵 。 水 の 表現 が 綺麗 。 今年 ? モアナ と 伝説 の 海 2 が でる の だ 楽しみ 。
LA・LA・LAND,切ない恋愛映画。曲がめっちゃいい。,3,4,2,4,5,2,4,3,切ない 恋愛 映画 。 曲 が めっちゃ いい 。
聲の形,難聴の子とその子をいじめてた人の話　絵がきれい　とても考えさせられる 名作,,,,,,,,,難聴 の 子 と その 子 を いじめる てる た 人 の 話 　 絵 が きれい 　 とても 考える させる られる 名作
信長協奏曲,ドラマが好きで映画を見ましたが、ドラマでの伏線をすべて回収していき、現代に戻ったサブローと戦国時代の人との最後のやり取りがとても感動しました。,5,5,2,1,2,1,1,3,ドラマ が 好き だ 映画 を 見る ます た が 、 ドラマ で の 伏線 を すべて 回収 する て いく 、 現代 に 戻る た サブロー と 戦国 時代 の 人 と の 最後 の やり取り が とても 感動 する ます た 。
トップガン　マーベリック,トム・クルーズかっこいい,5,4,3,2,3,1,4,5,トム ・ クルーズ かっこ いい
天使にラブソングを,作中の音楽も、リアルなストーリーもよかった。,5,5,5,5,2,3,5,5,作中 の 音楽 も 、 リアル だ ストーリー も よい た 。
パラサイト,韓国の映画　ラストが韓国っぽい,5,1,5,4,1,5,5,5,韓国 の 映画 　 ラスト が 韓国 っぽい
青夏,演者が高校生っぽくなくてリアルさに欠けた。,3,4,3,2,4,1,3,2,演者 が 高校生 っぽい ない て リアル さ に 欠ける た 。
アナログ,藤原丈一郎デビュー後映画初出演。顔がよかった。,5,5,2,3,5,1,2,1,藤原 丈一郎 デビュー 後 映画 初 出演 。 顔 が よい た 。
映画謎解きはディナーのあとで,櫻井翔の全盛期、全国民が恋した,5,5,5,4,3,3,5,4,櫻井 翔 の 全盛期 、 全 国民 が 恋 する た
なのに、千輝くんが甘すぎる,高橋恭平、顔がいい　畑芽育ちゃんかわいい,5,2,3,2,5,1,5,2,高橋 恭平 、 顔 が いい 　 畑 芽育 ちゃん かわいい
今夜、世界からこの恋が消えても,めちゃくちゃ泣いた。記憶をなくしていってしまう話。,5,5,3,5,5,2,2,4,めちゃくちゃ 泣く た 。 記憶 を なくす て いく て しまう 話 。
アルマゲドン,丈くんが最近泣いたって言ってたから見た,5,5,3,5,5,3,3,5,丈 くん が 最近 泣く た って 言う てる た から 見る た
銀魂～万屋よ永遠なれ～,ジャンプで連載している銀魂が完全オリジナルシナリオでの映画化。時間が交錯するので構成がしっかりしていないとつまらなくなるのが多い中しっかり辻褄が合う内容で面白かった。銀魂特有のギャグも健在で笑いあり涙ありがとことん似合う映画だった。何回でも見れる。,5,5,5,1,1,1,5,5,ジャンプ で 連載 する て いる 銀魂 が 完全 オリジナルシナリオ で の 映画化 。 時間 が 交錯 する の だ 構成 が しっかり する て いる ない と つまる ない なる の が 多い 中 しっかり 辻褄 が 合う 内容 で 面白い た 。 銀魂 特有 の ギャグ も 健在 だ 笑い ある 涙 ありがと ことん 似合う 映画 だ た 。 何回 で も 見れる 。
劇場版メイドインアビス,メイドインアビスの絶望でしか得られない栄養があります。少年少女がグロく傷付くアニメです。作画は可愛いです。,5,5,1,2,2,5,4,5,メイドインアビス の 絶望 で しか 得る られる ない 栄養 が ある ます 。 少年 少女 が グロい 傷付く アニメ です 。 作画 は 可愛い です 。
