学校名,性別,年齢,住所,兄弟姉妹,住居,母学歴,父学歴,母職業,父職業,進学理由,保護者,通学時間,学習時間,落第数,奨学金,親もち,塾,部活,幼稚園,大学,ネット,恋人,家族,自由時間,外出,アルコール,パリピ,健康状態,欠席日,G1,G2,G3
GP高,女性,18,市内,あり,下宿,4,4,なし,教師,教育内容,母親,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6
GP高,女性,17,市内,あり,同居,1,1,なし,その他,教育内容,父親,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6
GP高,女性,15,市内,なし,同居,1,1,なし,その他,その他,母親,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10
GP高,女性,15,市内,あり,同居,4,2,医療,サービス,通いやすさ,母親,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15
GP高,女性,16,市内,あり,同居,3,3,その他,その他,通いやすさ,父親,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10
GP高,男性,16,市内,なし,同居,4,3,サービス,その他,評判の良さ,母親,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15
GP高,男性,16,市内,なし,同居,2,2,その他,その他,通いやすさ,母親,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11
GP高,女性,17,市内,あり,下宿,4,4,その他,教師,通いやすさ,母親,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6
GP高,男性,15,市内,なし,下宿,3,2,サービス,その他,通いやすさ,母親,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19
GP高,男性,15,市内,あり,同居,3,4,その他,その他,通いやすさ,母親,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15
GP高,女性,15,市内,あり,同居,4,4,教師,医療,評判の良さ,母親,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9
GP高,女性,15,市内,あり,同居,2,1,サービス,その他,評判の良さ,父親,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12
GP高,男性,15,市内,なし,同居,4,4,医療,サービス,教育内容,父親,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14
GP高,男性,15,市内,あり,同居,4,3,教師,その他,教育内容,母親,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11
GP高,男性,15,市内,あり,下宿,2,2,その他,その他,通いやすさ,その他,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16
GP高,女性,16,市内,あり,同居,4,4,医療,その他,通いやすさ,母親,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14
GP高,女性,16,市内,あり,同居,4,4,サービス,サービス,評判の良さ,母親,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14
GP高,女性,16,市内,あり,同居,3,3,その他,その他,評判の良さ,母親,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10
GP高,男性,17,市内,あり,同居,3,2,サービス,サービス,教育内容,母親,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5
GP高,男性,16,市内,なし,同居,4,3,医療,その他,通いやすさ,父親,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10
GP高,男性,15,市内,あり,同居,4,3,教師,その他,評判の良さ,母親,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15
GP高,男性,15,市内,あり,同居,4,4,医療,医療,その他,父親,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15
GP高,男性,16,市内,なし,同居,4,2,教師,その他,教育内容,母親,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16
GP高,男性,16,市内,なし,同居,2,2,その他,その他,評判の良さ,母親,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12
GP高,女性,15,郊外,あり,同居,2,4,サービス,医療,教育内容,母親,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8
GP高,女性,16,市内,あり,同居,2,2,サービス,サービス,通いやすさ,母親,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8
GP高,男性,15,市内,あり,同居,2,2,その他,その他,通いやすさ,母親,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11
GP高,男性,15,市内,あり,同居,4,2,医療,サービス,その他,母親,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,15,16,15
GP高,男性,16,市内,なし,下宿,3,4,サービス,その他,通いやすさ,母親,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11
GP高,男性,16,市内,あり,同居,4,4,教師,教師,通いやすさ,母親,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11
GP高,男性,15,市内,あり,同居,4,4,医療,サービス,通いやすさ,母親,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12
GP高,男性,15,市内,あり,同居,4,4,サービス,サービス,評判の良さ,母親,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17
GP高,男性,15,郊外,あり,同居,4,3,教師,なし,教育内容,母親,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16
GP高,男性,15,市内,なし,同居,3,3,その他,その他,教育内容,母親,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12
GP高,男性,16,市内,あり,同居,3,2,その他,その他,通いやすさ,母親,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15
GP高,女性,15,市内,あり,同居,2,3,その他,その他,その他,父親,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6
GP高,男性,15,市内,なし,同居,4,3,教師,サービス,通いやすさ,母親,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18
GP高,男性,16,郊外,あり,下宿,4,4,その他,教師,評判の良さ,母親,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15
GP高,女性,15,郊外,あり,同居,3,4,サービス,医療,教育内容,母親,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11
GP高,女性,15,郊外,あり,同居,2,2,なし,その他,評判の良さ,母親,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13
GP高,女性,16,市内,なし,同居,2,2,その他,その他,通いやすさ,母親,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11
GP高,男性,15,市内,なし,同居,4,4,教師,その他,通いやすさ,その他,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12
GP高,男性,15,市内,あり,同居,4,4,サービス,教師,教育内容,父親,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18
GP高,男性,15,市内,あり,同居,2,2,サービス,サービス,教育内容,父親,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11
GP高,女性,16,市内,なし,同居,2,2,その他,なし,教育内容,父親,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9
GP高,女性,15,市内,なし,下宿,4,3,その他,その他,教育内容,母親,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6
GP高,女性,16,市内,なし,下宿,3,3,その他,サービス,通いやすさ,母親,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11
GP高,男性,16,市内,あり,同居,4,3,医療,サービス,評判の良さ,母親,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20
GP高,男性,15,市内,あり,同居,4,2,教師,その他,通いやすさ,母親,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,15,15,14
GP高,女性,15,市内,あり,同居,4,4,サービス,教師,その他,父親,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7
GP高,女性,16,市内,なし,同居,2,2,サービス,サービス,教育内容,母親,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,12,13,13
GP高,女性,15,市内,なし,同居,4,2,医療,その他,その他,母親,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,11,13,13
GP高,男性,15,市内,なし,下宿,4,2,医療,医療,その他,父親,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,11,11,10
GP高,女性,15,市内,あり,同居,4,4,サービス,サービス,教育内容,母親,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,8,10,11
GP高,女性,15,市内,なし,下宿,3,3,その他,その他,その他,母親,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,10,13,13
GP高,女性,16,市内,あり,下宿,2,1,その他,その他,その他,母親,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10
GP高,女性,15,市内,あり,下宿,4,3,サービス,サービス,評判の良さ,母親,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15
GP高,男性,15,市内,あり,同居,4,4,教師,医療,評判の良さ,母親,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15
GP高,男性,15,市内,なし,同居,1,2,その他,なし,通いやすさ,父親,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9
GP高,女性,16,市内,あり,同居,4,2,サービス,その他,教育内容,母親,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,15,16,16
GP高,女性,16,郊外,あり,同居,4,4,医療,教師,その他,母親,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11
GP高,女性,16,市内,あり,同居,1,1,サービス,サービス,教育内容,父親,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11
GP高,女性,16,市内,なし,同居,1,2,その他,サービス,評判の良さ,父親,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9
GP高,女性,16,市内,あり,同居,4,3,教師,医療,通いやすさ,母親,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9
GP高,女性,15,市内,なし,同居,4,3,サービス,サービス,評判の良さ,父親,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10
GP高,女性,16,市内,なし,同居,4,3,教師,サービス,教育内容,母親,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,15
GP高,男性,15,市内,あり,下宿,4,4,その他,サービス,評判の良さ,母親,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12
GP高,女性,16,市内,あり,同居,3,1,サービス,その他,教育内容,母親,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,7,7,6
GP高,女性,15,郊外,なし,同居,2,2,医療,サービス,評判の良さ,母親,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,8,9,8
GP高,女性,15,郊外,なし,同居,3,1,その他,その他,評判の良さ,父親,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,16
GP高,男性,16,市内,あり,同居,3,1,その他,その他,評判の良さ,父親,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,13,15,15
GP高,男性,15,市内,あり,同居,4,2,その他,その他,教育内容,母親,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,10,10,10
GP高,女性,15,郊外,あり,同居,1,1,その他,その他,評判の良さ,母親,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5
GP高,男性,16,市内,あり,同居,3,1,その他,その他,評判の良さ,母親,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14
GP高,女性,16,市内,あり,同居,3,3,その他,サービス,通いやすさ,母親,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11
GP高,男性,15,市内,あり,同居,4,3,教師,その他,通いやすさ,母親,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10
GP高,男性,15,市内,あり,同居,4,0,教師,その他,教育内容,母親,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,11,11,10
GP高,女性,16,市内,あり,同居,2,2,その他,その他,評判の良さ,母親,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,11,11,11
GP高,男性,17,市内,あり,同居,2,1,その他,その他,通いやすさ,母親,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,8,8,10
GP高,女性,16,市内,あり,同居,3,4,なし,その他,教育内容,母親,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,5,5,5
GP高,男性,15,市内,あり,同居,2,3,その他,サービス,教育内容,父親,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,10,12,12
GP高,男性,15,市内,あり,同居,2,3,その他,その他,通いやすさ,母親,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,11,10,11
GP高,女性,15,市内,なし,同居,3,2,サービス,その他,評判の良さ,母親,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,7,6,6
GP高,男性,15,市内,なし,同居,2,2,サービス,サービス,通いやすさ,母親,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15
GP高,女性,15,市内,あり,同居,1,1,その他,その他,通いやすさ,父親,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10
GP高,女性,15,市内,あり,同居,4,4,サービス,サービス,評判の良さ,父親,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,7,9,8
GP高,女性,16,市内,なし,同居,2,2,なし,その他,教育内容,母親,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,8,7,6
GP高,女性,15,市内,あり,同居,4,2,その他,その他,評判の良さ,母親,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,14
GP高,男性,16,市内,あり,同居,2,2,サービス,その他,評判の良さ,父親,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,11,10,10
GP高,男性,16,市内,なし,下宿,4,4,教師,医療,評判の良さ,母親,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,8,6,7
GP高,女性,16,市内,あり,同居,3,3,その他,その他,通いやすさ,母親,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,7,7,8
GP高,女性,15,市内,あり,同居,4,3,サービス,その他,評判の良さ,母親,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18
GP高,女性,16,市内,なし,同居,3,1,その他,その他,通いやすさ,父親,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,7,6,6
GP高,女性,16,市内,あり,同居,4,2,教師,サービス,通いやすさ,母親,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10
GP高,男性,15,市内,なし,同居,2,2,サービス,医療,評判の良さ,母親,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,11,13,14
GP高,女性,15,郊外,あり,同居,1,1,なし,その他,通いやすさ,母親,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10
GP高,男性,16,郊外,あり,同居,4,3,サービス,その他,評判の良さ,母親,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2,11,15,15
GP高,女性,16,市内,あり,同居,2,1,その他,その他,教育内容,母親,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2,8,9,10
GP高,女性,16,市内,あり,同居,4,4,その他,その他,評判の良さ,母親,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,11,14,14
GP高,女性,16,市内,あり,同居,4,3,その他,なし,教育内容,母親,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,7,9,8
GP高,男性,16,市内,あり,同居,4,4,サービス,サービス,その他,母親,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,7,7,5
GP高,男性,16,市内,あり,同居,4,4,サービス,教師,その他,父親,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,17,17
GP高,男性,15,市内,あり,同居,4,4,サービス,その他,教育内容,母親,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,10,13,14
GP高,女性,15,市内,あり,同居,3,2,サービス,その他,通いやすさ,母親,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26,7,6,6
GP高,男性,15,市内,あり,下宿,3,4,サービス,その他,教育内容,母親,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,18,18
GP高,女性,15,市内,あり,下宿,3,3,その他,医療,評判の良さ,父親,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,11,11
GP高,女性,15,市内,あり,同居,2,2,その他,その他,教育内容,母親,1,4,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,8,7,8,8
GP高,男性,16,市内,あり,同居,3,3,サービス,その他,通いやすさ,父親,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,16,18,18
GP高,男性,15,郊外,あり,同居,4,4,その他,その他,通いやすさ,父親,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,10,13,13
GP高,女性,16,市内,なし,同居,4,4,医療,医療,その他,母親,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,14,15,16
GP高,男性,15,市内,なし,下宿,4,4,教師,教師,教育内容,母親,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6,18,19,19
GP高,女性,16,郊外,あり,同居,3,3,サービス,その他,評判の良さ,父親,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0,7,10,10
GP高,女性,16,市内,あり,同居,2,2,なし,その他,通いやすさ,母親,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,6,10,13,13
GP高,男性,15,市内,なし,同居,4,2,教師,その他,教育内容,母親,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,18,19,19
GP高,男性,15,郊外,あり,同居,2,1,医療,サービス,評判の良さ,母親,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,8,9,9,9
GP高,男性,16,市内,あり,同居,4,4,教師,教師,教育内容,父親,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2,15,15,16
GP高,男性,15,市内,あり,同居,4,4,その他,教師,評判の良さ,父親,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,2,11,13,14
GP高,男性,16,市内,あり,同居,3,3,その他,サービス,通いやすさ,父親,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0,13,14,13
GP高,男性,17,郊外,あり,同居,1,3,その他,その他,教育内容,父親,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,20,9,7,8
GP高,男性,15,市内,あり,同居,3,4,その他,その他,評判の良さ,父親,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,6,14,13,13
GP高,女性,15,市内,あり,同居,1,2,なし,サービス,教育内容,母親,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2,16,15,15
GP高,男性,15,市内,あり,同居,2,2,サービス,サービス,通いやすさ,父親,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6,16,14,15
GP高,女性,16,市内,なし,同居,2,4,その他,医療,教育内容,父親,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13,13,13
GP高,男性,16,市内,あり,同居,4,4,医療,その他,教育内容,母親,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,18,14,11,13
GP高,女性,16,市内,あり,同居,2,2,その他,その他,通いやすさ,母親,1,2,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,1,1,5,0,8,7,8
GP高,男性,15,市内,あり,同居,3,4,サービス,サービス,通いやすさ,父親,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,0,13,13,12
GP高,女性,15,市内,なし,下宿,3,4,その他,その他,通いやすさ,母親,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,7,10,11
GP高,女性,19,市内,あり,同居,0,1,なし,その他,教育内容,その他,1,2,3,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,2,7,8,9
GP高,男性,18,郊外,あり,同居,2,2,サービス,その他,評判の良さ,母親,1,1,2,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,2,4,0,7,4,0
GP高,男性,16,郊外,あり,同居,4,4,教師,教師,教育内容,母親,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,5,5,2,5,4,8,18,18,18
